code,broad_theme,definition,include_when,exclude_when
Email Security,Email and Human Factors,"Controls designed to filter, authenticate, quarantine, or inspect inbound email.","Include malicious attachment screening, malicious link screening, DKIM, SPF, DMARC, quarantine services, secure email gateways, and external email tagging.",Exclude general phishing training unless the question is specifically about technical email filtering.
Security Awareness and Phishing Training,Email and Human Factors,Employee training or simulation activities designed to reduce phishing and cyber risk.,"Include phishing training, phishing simulations, retraining after failures, and cybersecurity awareness training frequency.","Exclude technical email gateway, link screening, or attachment scanning controls."
Multi-Factor Authentication,Identity and Access Management,"Use of MFA to secure access to systems, email, remote access, or privileged accounts.","Include MFA for remote access, VPN, RDP, webmail, email, privileged accounts, domain admin, or cloud administration.",Exclude general password policies unless MFA is explicitly mentioned.
Password and Privileged Access Management,Identity and Access Management,"Controls governing passwords, password managers, PAM tools, least privilege, and administrator rights.","Include password managers, PAM, least privilege, local admin rights, privileged account controls, and service account password controls.",Exclude MFA unless the question is specifically about privileged password management.
Asset and Configuration Management,Asset and Vulnerability Management,Controls for maintaining inventory and configuration awareness of systems.,"Include asset discovery tools, asset databases, configuration management databases, and hardened baseline configurations.",Exclude vulnerability scanning unless the focus is maintaining asset or configuration records.
Unsupported Software and Patch Management,Asset and Vulnerability Management,"Controls aimed at patching, segregating, or supporting unsupported or end-of-life software.","Include critical patching procedures, unsupported or end-of-life software management, segregation, and extended support.",Exclude general vulnerability scanning if no remediation or unsupported software control is referenced.
Backups and Recovery,Data Protection and Resilience,"Controls for backup frequency, offline storage, isolation, and recovery testing.","Include weekly backups, offline backups, isolated backups, backup recovery, and recovery testing.",Exclude incident response plans unless backup or recovery is explicitly referenced.
Incident Response and Business Continuity,Data Protection and Resilience,Preparedness and planning for cyber incidents or system disruption.,"Include incident response plans, business continuity plans, disruption response plans, and testing of those plans.",Exclude prior loss history unless the question directly asks about response planning.
Endpoint and Network Protection,Technical Security Controls,"Technical protections on endpoints, remote access, and network traffic.","Include antivirus, EPP, EDR, MDR, NDR, firewalls, protective DNS, SMB blocking, RDP restrictions, and remote desktop controls.",Exclude vulnerability scanning unless the emphasis is on endpoint or network defense products.
Security Monitoring and Operations,Technical Security Controls,"Monitoring, logging, detection, and SOC capabilities.","Include SOC, SIEM, abnormal behavior alerting, monitoring rules, 24/7 monitoring, and remediation authority.",Exclude general endpoint protection unless the emphasis is on monitoring or operations.
Vulnerability Scanning and Testing,Asset and Vulnerability Management,Activities used to discover weaknesses in systems.,"Include vulnerability scan coverage, scan frequency, scheduled scans, and security testing cadence.",Exclude patching unless the question focuses on scanning rather than remediation.
Encryption and Data Protection,Data Protection and Resilience,Encryption and storage safeguards for sensitive data and devices.,"Include encryption of sensitive data, portable devices, laptops, mobile devices, data at rest, data in transit, and secure storage.",Exclude general privacy compliance questions unless encryption or technical protection is explicit.
Funds Transfer and Social Engineering Controls,Fraud Prevention Controls,"Verification controls for ACH, wire, payroll, or banking-detail changes.","Include secondary confirmation, dual authentication, transfer validation, and banking change verification.",Exclude general MFA unless it is tied to funds transfer or account-change validation.
Data Inventory and Sensitive Data Exposure,Data Exposure and Compliance,"Questions quantifying or characterizing PII, PHI, PCI, records, or protected information exposure.","Include number of records, PHI/PII/PCI volume, payment card handling, and protected information storage or transmission.",Exclude encryption unless the focus is what data is held rather than how it is secured.
Compliance and Legal Review,Data Exposure and Compliance,"Formal compliance or legal-governance questions relevant to cyber, privacy, or regulated data.","Include HIPAA, HITECH, PCI compliance, legal review of trademarks or domain names, and regulatory responsibilities.",Exclude content moderation unless it is framed as legal review or compliance.
Media and Content Governance,"Media, Privacy, and Governance","Procedures governing publication, takedown, infringement review, editorial controls, and third-party content.","Include takedown procedures, editorial controls, third-party content review, written client sign-off, infringement screening, and content complaint handling.","Exclude core cybersecurity controls such as MFA, backups, or endpoint protection."
