doc_id,text,affected_individuals,high_impact,predicted_class,predicted_prob,word_count,cyber_terms,breach_terms,healthcare_terms,phi_terms,email_terms,safeguard_terms
claim_3,"The covered entity (CE), Share Ourselves, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 2,864 individuals. The PHI involved demographic and clinical information. The CE notified HHS and affected individuals; the BA notified the media on the CE�s behalf. OCR provided technical assistance regarding the HIPAA Rules.",2864,0,1,0.5962407862694354,59,1,2,2,5,0,0
claim_32,"The covered entity (CE), Northwest Medical Specialties PLLC, reported that it was the subject of a cyber-attack that affected the protected health information (PHI) of 3,864 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on their website. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",3864,0,1,0.5880413215387834,82,1,4,3,5,0,1
claim_68,"Lincoln National Corporation dba Lincoln Financial, the covered entity (CE), reported that its business associate (BA) experienced a cyberattack that impacted the protected health information (PHI) for 1,123 individuals. The PHI involved included names, addresses, dates of birth, Social Security numbers, and claims and financial information. The CE notified HHS and the affected individuals. In its mitigation efforts, the CE strengthened passwords and offered credit monitoring.",1123,0,1,0.5767257193267258,67,1,1,1,3,1,0
claim_70,"Prestonwood Baptist Church reported it experienced a cyber-attack that affected the protected health information of 501 individuals. After review, it was determined that Prestonwood Baptist Church is not a covered entity. Therefore, OCR closed the case.",501,0,1,0.6098173723852975,37,1,1,1,1,0,0
claim_74,"The covered entity (CE), Charleston Fire Department, reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of 2,583 individuals. The PHI involved demographic, clinical, and financial information. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE implemented additional safeguards, including multi-factor authentication, revised its policies procedures, and updated its HIPAA Security Rule Risk Analysis.",2583,0,1,0.5705308668264156,74,1,3,2,6,1,2
claim_83,"The business associate (BA), Scharnhorst Ast Kennnard Griffin, P.C., reported that an employee was the target of an email phishing scheme that affected the protected heath information (PHI) of 639 individuals. The PHI included demographic, clinical, and financial information. The BA notified HHS, affected covered entities, and the affected individuals. In response to the breach, the BA implemented additional administrative, technical, and security safeguards.",639,0,1,0.5812179443058457,65,1,4,1,4,1,1
claim_93,"The covered entity (CE), Hebrew Home for Aged Disabled dba San Francisco Campus for Jewish Living, reported that an employee was the subject of an email phishing attack that affected the protected health information (PHI) of 2,568 individuals. The PHI involved included names, addresses, dates of birth, medications, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards. Staff were retrained on email security.",2568,0,1,0.5207294527169116,96,1,4,1,4,3,2
claim_106,"The covered entity (CE), PAR Rehab, reported that an employee was the subject of an email phishing scheme that compromised the protected health information (PHI) of approximately 4,300 individuals. The PHI involved names, dates of birth, addresses, social security and drivers� license numbers, claims and financial information, lab results, medications, diagnoses/conditions, and other treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE provided security awareness training to its workforce and enhanced its email security to better protect its PHI. OCR provided technical assistance regarding the HIPAA Rules.",4300,0,1,0.5152487669869593,97,1,2,1,6,3,1
claim_118,"The covered entity (CE), St. Charles County Ambulance District, reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of approximately 1,265 individuals. The PHI involved names, dates of birth, addresses, diagnoses/conditions, and other treatment information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE provided security awareness training to its workforce, enhanced its multi-factor authentication, and is modernizing its email and identity security to better protect its PHI. OCR provided technical assistance regarding the HIPAA Rules.",1265,0,1,0.5180043864817251,95,1,2,1,6,3,2
claim_156,"The covered entity (CE), LittleStar ABA Therapy, reported that an employee was the target of an email phishing scheme that compromised the protected health information (PHI) of approximately 2,530 individuals. The PHI involved names, addresses, dates of birth, drivers� license and social security numbers, claims and financial information, and diagnoses/conditions. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE sanctioned the employee, increased its workforce security awareness training, and increased its threat protections to better protect its electronic PHI. OCR provided the CE with technical assistance.",2530,0,1,0.5465581847088099,94,1,2,1,5,2,1
claim_157,"The covered entity (CE), OU Medicine, Inc., reported that it experienced a hacking incident that affected the protected health information (PHI) of 2,537 individuals. The PHI involved included names, dates of birth, addresses, Social Security numbers, claims information, diagnoses/conditions, lab results, medications, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards. Staff were retrained.",2537,0,1,0.5832284081045396,88,1,5,1,3,1,2
claim_172,"The covered entity (CE), HCF of Roselawn (Roselawn Manor), reported that its business associate (BA) reported that it experienced a cyber-attack that compromised the protected health information (PHI) of 1,208 individuals. The PHI involved included names, addresses, Social Security numbers, diagnoses, lab results, and medications. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE and BA provided complimentary credit monitoring services and implemented additional administrative and technical safeguards.",1208,0,1,0.5793101520217132,76,1,2,1,3,1,1
claim_181,"The covered entity (CE), HCF of Edinboro dba Edinboro Manor, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) 2,844 individuals. The PHI involved included names, addresses, Social Security numbers, diagnoses, lab results, and medications. The CE notified HHS, affected individuals, and the media. In response to the breach the CE and BA provided complimentary credit monitoring services and implemented additional administrative and technical safeguards.",2844,0,1,0.580266833708169,74,1,3,1,3,1,1
claim_182,"The covered entity (CE), HCF of Crestview dba Village at the Greene, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) 1,944 individuals. The PHI involved included names, addresses, Social Security numbers, diagnoses, lab results, and medications. The CE notified HHS, affected individuals, and the media. In response to the breach the CE and BA provided complimentary credit monitoring services and implemented additional administrative and technical safeguards.",1944,0,1,0.5801032407598957,76,1,3,1,3,1,1
claim_184,"The covered entity (CE), HCF of Corry dba Corry Manor, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) 2,620 individuals. The PHI involved included names, addresses, Social Security numbers, diagnoses, lab results, and medications. The CE notified HHS, affected individuals, and the media. In response to the breach the CE and BA provided complimentary credit monitoring services and implemented additional administrative and technical safeguards.",2620,0,1,0.580266833708169,74,1,3,1,3,1,1
claim_185,"The covered entity (CE), HCF of Celina dba Celina Manor, reported that its business associate (BA) experienced a hacking incident that compromised the protected health information (PHI) of 2,321 individuals. The PHI involved included names, addresses, Social Security numbers, lab results, diagnoses, and medications. The CE notified HHS, affected individuals, and the media. In response to the breach, the BA and CE provided complimentary credit monitoring and the BA implemented additional administrative and technical safeguards.",2321,0,1,0.5808959160229825,76,1,4,1,3,1,1
claim_186,"The covered entity (CE), HCF of Briarwood Inc. (Briarwood Village), reported that its management company, HCF Management, Inc., a business associate (BA), discovered suspicious activity on their computer network. The BA initiated an internal investigation, took steps to contain the incident, and engaged a third-party forensic security firm to further investigate. The BA determined that an unknown, unauthorized third party gained access to the BA�s computer systems, and accessed and acquired documents containing demographic and clinical protected health information (PHI) for 2,650 individuals. The CE notified HHS, affected individuals, and the media.",2650,0,1,0.5944707757053868,95,1,2,2,3,0,0
claim_190,"LifeBridge Health, Inc., the covered entity (CE), reported that multiple employees were the targets of an email phishing scheme that affected the protected health information (PHI) of 25,895 individuals. The PHI involved included names and addresses, birthdates, Social Security and drivers� license numbers, medications, claims and health insurance information, and other treatment information. The CE notified HHS, affected individuals, media outlets, and posted substitute notice on its website. In its mitigation efforts, the CE implemented provided complimentary credit monitoring services and implemented additional administrative, technical, and security safeguards. Staff were retrained on email security.",25895,1,0,0.4976472701856844,95,1,2,3,4,3,2
claim_212,"The covered entity (CE), Golden Age Home Health, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 3,223 individuals. The PHI involved included names, Social Security numbers, addresses, drivers� license numbers, and dates of birth. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect its PHI.",3223,0,1,0.5713382572841307,88,1,4,2,4,1,2
claim_221,"The covered entity (CE), Hartson-Kennedy Group Benefit Plan, reported that it experienced a cyberattack that compromised the protected health information (PHI) of 3,600 individuals. The PHI involved included names, addresses, dates of birth, drivers� license and Social Security numbers, diagnoses/conditions, and other treatment information. The CE notified HHS, the affected individuals, and posted substitute notice on its website. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards. Staff were retrained.",3600,0,1,0.582436973261887,88,1,4,1,3,1,2
claim_222,"The covered entity (CE), UT Southwestern Medical Center, reported that multiple employees impermissibly disclosed the protected health information (PHI) of 43,048 individuals using a calendar app. The PHI involved included names, dates of birth, social security numbers, financial and claims information, diagnoses, conditions, lab results, medications, and other treatment information. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE implemented additional technical safeguards and HIPAA training.",43048,1,0,0.37569382413400987,75,0,3,2,4,0,2
claim_245,"The covered entity (CE), Village Pharmacy Group, reported that an employee experienced a phishing incident that affected the protected health information (PHI) of 584 individuals. The PHI involved included names, diagnoses, and other treatment information. The CE notified HHS and effected individuals. In response to the breach the CE implemented additional administrative, technical, and security safeguards. Staff were also retrained in its requirements to protect and secure PHI.",584,0,1,0.6115626966693177,68,1,3,1,5,0,2
claim_284,"The covered entity (CE), Arkansas Blue Cross and Blue Shield, reported that its business associate (BA), experienced a cyber-attack that compromised the protected health information (PHI) of 633 individuals. The PHI involved included demographic and clinical information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE implemented new technical safeguards.",633,0,1,0.6001646090928995,58,1,3,2,4,0,1
claim_288,"The covered entity (CE), Chicago Cardiology Institute, reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of approximately 2,743 individuals. The PHI involved included names, dates of birth, and treatment information. The CE notified HHS, the affected individuals, and the media. In its mitigation efforts, the CE provided complimentary credit monitoring services and strengthened its technical safeguards.",2743,0,1,0.5793870189593543,68,1,2,1,4,1,1
