doc_id,text,incident_type,affected_raw,affected_individuals,credit_monitoring,retraining,technical_safeguards,media_notice
claim_1,"The covered entity (CE), Absentee Shawnee Tribal Health Authority, Inc., reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 1,112 individuals. The PHI involved demographic and clinical information. The CE notified HHS; the BA is notifying affected individuals and the media on the CE�s behalf. OCR provided technical assistance regarding the HIPAA Rules.",Cyberattack,"1,112 individuals",1112,0,0,0,1
claim_2,"The covered entity (CE), Gold Coast Health Plan, reported that its business associate (BA) experienced a cybersecurity incident that affected the protected health information (PHI) of 540 individuals. The PHI included demographic information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE and BA implemented additional administrative, technical, and security safeguards to better protect PHI.",Cybersecurity incident,540 individuals,540,0,0,1,1
claim_3,"The covered entity (CE), Share Ourselves, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 2,864 individuals. The PHI involved demographic and clinical information. The CE notified HHS and affected individuals; the BA notified the media on the CE�s behalf. OCR provided technical assistance regarding the HIPAA Rules.",Cyberattack,"2,864 individuals",2864,0,0,0,1
claim_4,"Urology Associates of Green Bay, the covered entity (CE), reported that an employee made the email addresses of approximately 4,000 individuals viewable by others. The protected health information included email addresses only. The CE notified HHS, the affected individuals, and media. As part of its mitigation efforts, the CE retrained staff and implemented additional safeguards.",Other,"4,000 individuals",4000,0,1,0,1
claim_5,"The covered entity (CE), Variety Care, reported that its business associate (BA) experienced a cyber-attack that compromised the protected health information (PHI) of 17,163 individuals. The PHI involved demographic and clinical information. The CE notified HHS and affected individuals; the subcontractor notified the media on the CE�s behalf. OCR provided technical assistance regarding the HIPAA Rules.",Cyberattack,"17,163 individuals",17163,0,0,0,1
claim_6,"The covered entity (CE), Affiliates of Nexion Health, Inc., reported that an employee emailed the protected health information (PHI) of 1,027 individuals to the wrong recipients. The PHI involved included names, addresses, dates of birth, claims information, and other treatment information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE retrained workforce members and implemented new technical safeguards to better protect its PHI.",Wrong recipient,"1,027 individuals",1027,0,1,1,1
claim_7,"The covered entity (CE), Jewish Family and Community Services- East Bay, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 987 individuals. The PHI involved included demographic information. The CE notified HHS and the affected individuals. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",Ransomware,987 individuals,987,1,0,1,0
claim_8,"The covered entity (CE), SomnoSleep Consultants, reported that its business associate (BA) experienced a compromise of their computer system that compromised the protected health information (PHI) of 913 individuals. The PHI involved included names, addresses, dates of birth, and clinical information. The CE notified HHS and the affected individuals. In response to the breach, the CE and BA implemented encryption technologies. OCR provided the CE with technical assistance regarding the HIPAA Rules.",Other,913 individuals,913,0,0,1,0
claim_9,"Wisconsin Department of Corrections, the covered entity (CE), reported that the protected health information (PHI) of 1,723 individuals was viewable over the Internet. The PHI involved clinical and diagnostic information. The CE notified HHS, affected individuals, and the media. In its mitigation efforts, the CE revised its policies and procedure regarding the HIPAA Privacy and Security Rules and trained or retrained its workforce. OCR provided technical assistance regarding the HIPAA Rules.",Internet exposure,"1,723 individuals",1723,0,1,0,1
claim_10,"River Oaks Hospital & Clinics, the covered entity (CE), reported that two workforce members impermissibly accessed the protected health information (PHI) of approximately 2,742 individuals. The PHI included clinical, financial and demographic information. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE sanctioned the responsible employees and implemented additional administrative and technical safeguards. Staff were retrained.",Other,"2,742 individuals",2742,0,1,1,1
claim_11,"The covered entity (CE), Bosch Choice Welfare Benefit Plan, reported that a vendor of its business associate (BA) experienced a cybersecurity incident that affected the protected health information (PHI) of 55,000 individuals. The PHI involved included names, Social Security numbers, dates of birth, claims and health insurance information, and diagnoses/conditions. The CE notified HHS and the BA notified the affected covered entities and the affected individuals. In response to the breach, the CE and BA implemented additional technical safeguards to better protect PHI.",Cybersecurity incident,"55,000 individuals",55000,0,0,1,0
claim_12,"The covered entity (CE), Fidelis Care New York, reported that a workforce member emailed documents containing the protected health information (PHI) of 1,680 individuals to the wrong recipient. The PHI involved included names, dates of birth, member identification numbers, medications and other treatment information. The CE notified HHS, the affected individuals, and the media. In response to the breach, the CE implemented additional administrative safeguards and sanctioned the responsible workforce member.",Wrong recipient,"1,680 individuals",1680,0,0,0,1
claim_13,"The covered entity (CE), Sedgebrook OpCo SL VII LLC, reported that it was the subject of a ransomware attack that affected the protected health information (PHI) of 7,382 individuals. The PHI involved included demographic, clinical, and financial information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect its PHI.",Ransomware,"7,382 individuals",7382,1,0,1,1
claim_14,"The covered entity (CE), Sapphire Community Health, reported that its business associate (BA) experienced a cyber-attack on its network which contained the protected health information (PHI) of approximately 5,617 individuals. The PHI involved names, addresses, dates of birth, drivers� license numbers, social security numbers, diagnoses/conditions, lab results, medications, and other treatment information. The CE notified HHS, affected individuals, and the media. OCR provided technical assistance to the CE regarding the HIPAA Rules.",Cyberattack,"5,617 individuals",5617,0,0,0,1
claim_15,"The covered entity (CE), Central Jersey Medical Center, reported that it experienced a hacking incident that affected the protected health information of 88,000 individuals. The PHI involved included names, Social Security numbers, addresses, dates of birth, claims information, diagnoses/conditions, and treatment information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on its website. In response to the breach, the CE implemented additional administrative, technical, and security safeguards, and retrained its workforce members to better protect its PHI.",Hacking,"88,000 individuals",88000,0,1,1,1
claim_16,"The business associate (BA), McElroy & Associates, Inc., reported that an employee�s email account containing protected health information (PHI) was accessed by an unauthorized threat actor. According to the breach report, the breach affected approximately 6,633 individuals. The PHI involved names, dates of births, address/zip codes, social security numbers, drivers� license numbers, other identifier, claims information, credit card/bank account numbers, medications, diagnosis/conditions, and other treatment information. The BA notified HHS, affected individuals, and the media. In its mitigation efforts, the BA provided security awareness training to its workforce and enhanced its access controls to better protect its PHI. OCR provided technical assistance to the BA regarding the HIPAA Rules and obtained documentation substantiating the BA�s actions.",Other,"6,633 individuals",6633,0,1,1,1
claim_17,"The covered entity (CE), Houston Methodist Specialty Physician Group, reported that an employee mailed the protected health information of 2,329 individuals to the wrong recipients. The PHI involved included names and treatment information. The CE notified HHS, the affected individuals and the media. In response to the breach, the CE sanctioned the employee involved and retrained its workforce members to better protect its PHI.",Wrong recipient,"2,329 individuals",2329,0,1,0,1
claim_18,"The covered entity (CE), Dermatology Associates, reported that it was the subject of a ransomware attack that compromised the protected health information (PHI) of approximately 501 individuals. The PHI involved included clinical, demographic, and financial information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. The CE took several corrective actions in response to the breach, including changing passwords and enhancing security controls. OCR provided technical assistance to the CE.",Ransomware,501 individuals,501,0,0,0,1
claim_19,"Vibra Hospital of Sacramento, LLC, the covered entity (CE), reported that several employees were the targets of an email phishing incident that affected the protected health information (PHI) of 620 individuals. The PHI included names, dates of birth, addresses, drivers� license information, Social Security numbers, financial information, diagnoses and conditions, lab results, and other treatment information. The CE notified HHS, affected individuals, and the media. In response to the breach the CE implemented additional administrative and technical safeguards. OCR provided technical assistance regarding the HIPAA Breach Notification Rules. Staff were retrained.",Phishing,620 individuals,620,0,1,1,1
claim_20,"The covered entity (CE), Innovative Physical Therapy, reported that an employee of its business associate (BA) was the subject of an email phishing attack that affected the protected health information (PHI) of 2,023 individuals. The PHI involved included clinical and demographic information. The CE notified HHS, the affected individuals, the media, and posted substitute notice on their website. In response to the breach, the CE provided complimentary credit monitoring services to the affected individuals and implemented additional administrative, technical, and security safeguards to better protect PHI.",Phishing,"2,023 individuals",2023,1,0,1,1
claim_21,"The covered entity (CE), Walgreen Co., reported that the protected health information (PHI) of 2,708 individuals was lost during transport. The PHI involved included names, addresses, medications, and other treatment information. The CE notified HHS, law enforcement, affected individuals, and the media. In its mitigation efforts, the CE terminated its business relationship with the business associate. OCR provided technical assistance to the CE regarding the HIPAA Rules.",Mailing / transport,"2,708 individuals",2708,0,0,0,1
claim_22,"The covered entity (CE), North Carolina Department of Health and Human Services, reported that an employee of its business associate (BA) mailed the protected health information (PHI) of 3,437 individuals to the wrong recipients. The PHI involved clinical and demographic information. The CE notified HHS, the affected individuals, the media, and provided substitute notice. In response to the breach, the CE and BA implemented additional administrative, technical, and security safeguards and retrained workforce members to better protect its PHI.",Wrong recipient,"3,437 individuals",3437,0,1,1,1
claim_23,"The business associate (BA), Superior Vision Services, Inc., reported that an employee was the target of an email phishing scheme that affected the protected health information (PHI) of approximately 25,341 individuals. The PHI involved demographic information. The BA notified HHS, affected individuals, and the media. In its mitigation efforts, the BA provided security awareness training to its workforce, strengthened its threat detection and response solutions, and enhanced its access controls to better protect PHI. OCR provided technical assistance to the BA regarding the HIPAA Rules.",Phishing,"25,341 individuals",25341,0,1,1,1
claim_24,"The covered entity (CE), Thomas Davies, DPM reported that its business associate (BA) experienced a hacking attack that compromised the protected health information (PHI) of 25,876 individuals. The PHI involved included demographic and clinical information. The CE notified HHS, affected individuals, and the media. In response to the breach, the CE and BA implemented additional administrative, technical, and security safeguards and offered free credit monitoring. OCR provided technical assistance regarding the HIPAA Rules.",Hacking,"25,876 individuals",25876,1,0,1,1
claim_25,"The business associate (BA), Outcomes One, Inc., reported that an employee was the subject of an email phishing scheme that affected the protected health information (PHI) of 257,481 individuals. The PHI involved included names, dates of birth, medications, and other treatment information. The BA notified HHS, the affected covered entities, the affected individuals, the media, and provided substitute notice. In response to the breach, the BA implemented additional administrative, technical, and security safeguards, and retrained workforce members to better protect PHI.",Phishing,"257,481 individuals",257481,0,1,1,1
